,Year,Team,R
124,2014,CHC,594
125,2014,CIN,575
126,2014,CLE,669
127,2014,COL,740
128,2014,CWS,660
129,2014,DET,756
130,2014,HOU,628
131,2014,KC,648
132,2014,LAA,772
133,2014,LAD,695
134,2014,MIA,637
135,2014,MIL,640
136,2014,MIN,698
137,2014,NYM,618
138,2014,NYY,633
139,2014,OAK,729
140,2014,PHI,607
141,2014,PIT,667
142,2014,SD,521
143,2014,SEA,588
144,2014,SF,645
145,2014,STL,598
146,2014,TB,612
147,2014,TEX,636
148,2014,TOR,682
149,2014,WAS,671
150,2015,ARI,710
151,2015,ATL,569
152,2015,BAL,710
153,2015,BOS,748
154,2015,CHC,667
155,2015,CIN,623
156,2015,CLE,669
157,2015,COL,717
158,2015,CWS,621
159,2015,DET,615
160,2015,HOU,727
161,2015,KC,723
162,2015,LAA,661
163,2015,LAD,650
164,2015,MIA,603
165,2015,MIL,647
166,2015,MIN,687
167,2015,NYM,667
168,2015,NYY,763
169,2015,OAK,693
170,2015,PHI,609
171,2015,PIT,684
172,2015,SD,630
173,2015,SEA,655
174,2015,SF,673
175,2015,STL,631
176,2015,TB,643
177,2015,TEX,748
178,2015,TOR,891
179,2015,WAS,688
180,2016,ARI,729
181,2016,ATL,642
182,2016,BAL,743
183,2016,BOS,878
184,2016,CHC,787
185,2016,CIN,705
186,2016,CLE,774
187,2016,COL,829
188,2016,CWS,684
189,2016,DET,738
190,2016,HOU,723
191,2016,KC,663
192,2016,LAA,716
193,2016,LAD,710
194,2016,MIA,644
195,2016,MIL,657
196,2016,MIN,721
197,2016,NYM,650
198,2016,NYY,680
199,2016,OAK,643
200,2016,PHI,594
201,2016,PIT,718
202,2016,SD,671
203,2016,SEA,767
204,2016,SF,695
205,2016,STL,760
206,2016,TB,671
207,2016,TEX,764
208,2016,TOR,756
209,2016,WAS,749
210,2017,ARI,787
211,2017,ATL,721
212,2017,BAL,743
213,2017,BOS,785
214,2017,CHC,802
215,2017,CIN,743
216,2017,CLE,817
217,2017,COL,804
218,2017,CWS,706
219,2017,DET,735
220,2017,HOU,894
221,2017,KC,702
222,2017,LAA,710
223,2017,LAD,750
224,2017,MIA,769
225,2017,MIL,720
226,2017,MIN,812
227,2017,NYM,717
228,2017,NYY,857
229,2017,OAK,737
230,2017,PHI,674
231,2017,PIT,657
232,2017,SD,591
233,2017,SEA,748
234,2017,SF,619
235,2017,STL,740
236,2017,TB,693
237,2017,TEX,798
238,2017,TOR,691
239,2017,WAS,802
240,2018,ARI,680
241,2018,ATL,746
242,2018,BAL,619
243,2018,BOS,872
244,2018,CHC,748
245,2018,CIN,682
246,2018,CLE,817
247,2018,COL,759
248,2018,CWS,656
249,2018,DET,630
250,2018,HOU,797
251,2018,KC,637
252,2018,LAA,661
253,2018,LAD,794
254,2018,MIA,580
255,2018,MIL,736
256,2018,MIN,736
257,2018,NYM,664
258,2018,NYY,849
259,2018,OAK,812
260,2018,PHI,666
261,2018,PIT,681
262,2018,SD,605
263,2018,SEA,677
264,2018,SF,597
265,2018,STL,741
266,2018,TB,715
267,2018,TEX,737
268,2018,TOR,707
269,2018,WAS,751
