Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
45,Jason Isringhausen\isrinja01,2012-02-22,Los Angeles Angels of Anaheim,NYM,39,0.3,15,496,104,11,21,2,16,0,5,.202,.241,.317,.558,48,53,3.62,1.325,674,52,300,962.0,857,78,418,799
46,Eric Chavez\chaveer01,2012-02-21,New York Yankees,NYY,34,-0.3,14,1378,4943,746,1318,232,813,47,579,.267,.342,.474,.817,,,,,,,,,,,,
47,Raul Ibanez\ibanera01,2012-02-21,New York Yankees,PHI,40,1.6,16,1817,6387,928,1791,252,1054,44,603,.280,.342,.471,.813,,,,,,,,,,,,
48,Manny Ramirez\ramirma02,2012-02-20,Oakland Athletics,TBR,40,2.7,19,2302,8244,1544,2574,555,1831,38,1329,.312,.411,.585,.996,,,,,,,,,,,,
49,Brett Tomko\tomkobr01,2012-02-19,Cincinnati Reds,TEX,39,1.5,14,308,456,23,71,0,29,0,19,.156,.189,.175,.365,100,103,4.65,1.366,397,266,2,1816.0,1898,255,582,1209
50,Josh Kroeger\kroegjo01,2012-02-18,Boston Red Sox,FLA,29,,7,,,,,,,,,,,,,,,,,,,,,,,,
51,Nate Robertson\roberna01,2012-02-18,Chicago Cubs,SEA,34,-1.1,9,,,,,,,,,,,,,,,,,,,,,,,,
52,Chris Gimenez\gimench01,2012-02-16,Tampa Bay Rays,SEA,29,-0.5,3,97,228,24,39,5,21,1,35,.171,.279,.272,.551,,,,,,,,,,,,
53,Kosuke Fukudome\fukudko01,2012-02-14,Chicago White Sox,CLE,35,4.0,4,572,1888,262,491,42,191,29,299,.260,.361,.399,.760,,,,,,,,,,,,
54,Jeff Salazar\salazje01,2012-02-14,Tampa Bay Rays,DET,31,-0.3,5,,,,,,,,,,,,,,,,,,,,,,,,
55,Sean White\whitese02,2012-02-11,Boston Red Sox,COL,31,0.6,4,,,,,,,,,,,,,,,,,,,,,,,,
56,Luis Ayala\ayalalu01,2012-02-10,Baltimore Orioles,NYY,34,0.7,7,349,14,0,4,0,0,0,0,.286,.286,.357,.643,31,41,3.47,1.286,429,0,18,446.1,462,45,112,294
57,Greg Burke\burkegr01,2012-02-10,Baltimore Orioles,SDP,29,0.0,1,44,0,0,0,0,0,0,0,,,,,3,3,4.14,1.555,48,0,0,45.2,48,4,23,33
58,Scott Linebrink\linebsc01,2012-02-10,St. Louis Cardinals,ATL,35,0.9,12,441,18,0,4,0,0,0,0,.222,.222,.278,.500,42,31,3.51,1.308,607,6,8,656.2,630,82,229,567
59,Nick Johnson\johnsni01,2012-02-09,Baltimore Orioles,CLE,33,1.4,9,794,2611,421,705,91,387,27,511,.270,.401,.443,.844,,,,,,,,,,,,
60,Zack Segovia\segovza01,2012-02-09,Detroit Tigers,MIL,29,-0.2,4,,,,,,,,,,,,,,,,,,,,,,,,
61,Russell Branyan\branyru01,2012-02-08,New York Yankees,LAA,36,4.5,14,1059,2934,405,682,194,467,16,403,.232,.329,.485,.814,,,,,,,,,,,,
62,Bill Hall\hallbi03,2012-02-08,New York Yankees,SFG,32,-0.3,10,1046,3325,448,825,124,439,62,281,.248,.307,.436,.743,,,,,,,,,,,,
63,Ryan Ludwick\ludwiry01,2012-02-08,Cincinnati Reds,PIT,33,3.0,9,790,2641,366,689,117,450,17,256,.261,.332,.455,.787,,,,,,,,,,,,
64,Jeff Suppan\suppaje01,2012-02-08,San Diego Padres,KCR,37,-1.6,16,254,430,27,75,1,24,1,23,.174,.221,.198,.419,138,143,4.69,1.460,442,411,0,2512.0,2809,333,858,1383
65,Jamey Wright\wrighja01,2012-02-07,Los Angeles Dodgers,SEA,37,0.6,16,260,436,26,64,1,17,0,12,.147,.170,.193,.362,85,121,4.93,1.565,526,246,1,1828.2,1963,191,898,1016
66,Alex Cora\coraal01,2012-02-06,St. Louis Cardinals,WSN,36,-0.2,14,1273,3408,360,828,35,286,47,248,.243,.310,.338,.648,,,,,,,,,,,,
67,Brent Dlugach\dlugabr01,2012-02-06,Detroit Tigers,BOS,29,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,
68,Rick Ankiel\ankieri01,2012-02-05,Washington Nationals,WSN,32,2.6,9,538,1635,232,402,64,218,20,142,.246,.309,.423,.732,,,,,,,,,,,,
69,Mitch Atkins\atkinmi01,2012-02-03,Washington Nationals,BAL,26,-0.3,3,7,2,0,0,0,0,0,0,.000,.000,.000,.000,0,0,6.75,1.897,10,3,0,22.2,34,7,9,17
70,Todd Coffey\coffeto01,2012-02-03,Los Angeles Dodgers,WSN,31,1.0,7,422,7,0,0,0,0,0,0,.000,.000,.000,.000,24,18,4.08,1.419,438,0,11,419.1,466,48,129,311
71,Casey Kotchman\kotchca01,2012-02-03,Cleveland Indians,TBR,29,4.0,8,791,2588,276,693,59,332,11,240,.268,.336,.398,.733,,,,,,,,,,,,
72,Greg Smith\smithgr02,2012-02-03,Los Angeles Angels of Anaheim,BOS,28,-0.2,3,,,,,,,,,,,,,,,,,,,,,,,,
73,Brian Tallet\tallebr01,2012-02-03,Pittsburgh Pirates,TOR,34,-2.4,9,32,5,0,0,0,0,0,0,.000,.000,.000,.000,16,25,4.79,1.461,242,36,0,460.0,459,58,213,337
74,Steve Holm\holmst01,2012-02-02,Colorado Rockies,MIN,32,-0.1,3,59,108,12,26,1,6,0,13,.241,.336,.361,.697,,,,,,,,,,,,
75,Edwin Jackson\jacksed01,2012-02-02,Washington Nationals,STL,28,9.2,9,64,98,7,18,1,7,0,6,.184,.229,.214,.443,60,60,4.46,1.476,203,173,0,1079.0,1154,119,439,801
76,Ryan Rowland-Smith\rowlary01,2012-02-02,Chicago Cubs,HOU,29,-1.5,4,6,4,0,0,0,0,0,0,.000,.000,.000,.000,12,17,4.57,1.420,115,47,2,362.2,381,51,134,220
77,Francisco Cordero\cordefr01,2012-02-01,Toronto Blue Jays,CIN,37,3.6,13,386,3,0,0,0,0,0,0,.000,.000,.000,.000,44,45,3.17,1.333,753,0,327,785.1,690,55,357,765
78,Juan Cruz\cruzju02,2012-02-01,Pittsburgh Pirates,TBR,33,0.2,11,269,70,2,8,0,2,0,4,.114,.162,.157,.319,37,35,4.13,1.395,404,38,3,619.1,537,64,327,626
79,Carlos Guillen\guillca01,2012-02-01,Seattle Mariners,DET,36,0.2,14,1305,4673,733,1331,124,660,74,510,.285,.355,.443,.798,,,,,,,,,,,,
80,Dan Johnson\johnsda06,2012-02-01,Chicago White Sox,TBR,32,-0.7,6,399,1298,162,305,53,188,1,196,.235,.334,.405,.739,,,,,,,,,,,,
81,Micah Owings\owingmi01,2012-02-01,San Diego Padres,ARI,29,0.3,5,168,203,27,58,9,35,0,8,.286,.313,.507,.820,32,31,4.91,1.401,132,68,1,473.1,460,63,203,340
82,Chad Qualls\quallch01,2012-01-31,Philadelphia Phillies,SDP,33,-1.9,8,489,6,0,0,0,0,0,0,.000,.000,.000,.000,38,34,3.78,1.269,537,0,51,543.0,539,53,150,426
83,Hernan Iribarren\iribahe01,2012-01-30,Colorado Rockies,COL,28,0.0,2,24,27,2,5,0,2,0,2,.185,.241,.296,.538,,,,,,,,,,,,
84,Trever Miller\milletr02,2012-01-30,Chicago Cubs,BOS,39,1.6,13,408,6,1,1,0,0,0,0,.167,.167,.333,.500,18,17,4.18,1.448,694,5,11,523.1,521,54,237,434
85,Pat Neshek\neshepa01,2012-01-30,Baltimore Orioles,SDP,31,-0.1,5,27,0,0,0,0,0,0,0,,,,,12,7,3.21,1.114,157,0,0,154.1,105,20,67,171
86,Corey Patterson\patteco01,2012-01-30,Milwaukee Brewers,STL,32,0.2,12,1230,4171,571,1050,118,431,218,206,.252,.290,.400,.691,,,,,,,,,,,,
87,Ronny Paulino\pauliro01,2012-01-30,Baltimore Orioles,NYM,31,1.8,7,553,1804,176,492,33,211,4,144,.273,.326,.379,.705,,,,,,,,,,,,
88,Matt Tolbert\tolbema01,2012-01-30,Chicago Cubs,MIN,30,0.8,4,247,605,76,139,3,54,17,48,.230,.288,.319,.607,,,,,,,,,,,,
89,Luke French\frenclu01,2012-01-27,Minnesota Twins,SEA,26,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
90,Jeff Keppinger\keppije01,2012-01-27,Tampa Bay Rays,SFG,32,0.4,7,586,2074,240,582,32,215,11,155,.281,.332,.388,.720,,,,,,,,,,,,
91,John Maine\mainejo01,2012-01-27,Boston Red Sox,COL,31,-0.3,7,101,166,10,16,1,8,0,11,.096,.161,.120,.282,41,36,4.35,1.339,108,105,0,585.2,519,79,265,492
92,Kyle Phillips\phillky01,2012-01-27,Toronto Blue Jays,SDP,28,0.0,2,41,94,10,18,2,12,0,8,.191,.262,.319,.581,,,,,,,,,,,,
93,Juan Pierre\pierrju01,2012-01-27,Philadelphia Phillies,CHW,34,0.6,12,1751,6823,980,2020,16,484,554,428,.296,.345,.363,.708,,,,,,,,,,,,
94,Brian Sweeney\sweenbr01,2012-01-27,Seattle Mariners,NYM,38,0.3,8,,,,,,,,,,,,,,,,,,,,,,,,
95,Ryan Theriot\theriry01,2012-01-27,San Francisco Giants,STL,32,1.9,7,795,2894,401,816,17,229,108,261,.282,.344,.353,.697,,,,,,,,,,,,
96,Matt Tuiasosopo\tuiasma01,2012-01-27,New York Mets,SEA,26,-0.5,3,71,193,15,34,5,15,0,13,.176,.234,.306,.540,,,,,,,,,,,,
97,Prince Fielder\fieldpr01,2012-01-26,Detroit Tigers,MIL,28,12.3,7,998,3527,571,996,230,656,16,566,.282,.390,.540,.929,,,,,,,,,,,,
98,Jeff Francis\francje01,2012-01-26,Cincinnati Reds,KCR,31,0.9,7,143,256,16,32,0,15,0,21,.125,.189,.148,.338,61,66,4.78,1.430,181,180,0,1065.2,1198,128,326,694
99,Jonny Gomes\gomesjo01,2012-01-26,Oakland Athletics,WSN,31,0.2,9,781,2367,343,573,118,364,45,264,.242,.329,.451,.780,,,,,,,,,,,,
100,Clay Hensley\henslcl01,2012-01-26,San Francisco Giants,FLA,32,2.1,6,208,86,2,8,0,4,1,4,.093,.133,.116,.250,24,29,3.94,1.351,211,49,7,466.1,421,34,209,329
101,Hiroki Kuroda\kurodhi01,2012-01-26,New York Yankees,LAD,37,6.8,4,109,198,7,21,0,3,0,13,.106,.161,.111,.272,41,46,3.45,1.187,115,114,0,699.0,667,64,163,523
102,Brad Lidge\lidgebr01,2012-01-26,Washington Nationals,PHI,35,-0.7,10,569,7,0,2,0,2,0,0,.286,.286,.429,.714,26,31,3.44,1.273,592,1,223,594.0,480,56,276,789
103,Ryan Rohlinger\rohliry01,2012-01-26,Cleveland Indians,COL,28,-0.3,4,46,67,3,9,0,7,0,4,.134,.183,.194,.377,,,,,,,,,,,,
104,Cody Ross\rossco01,2012-01-26,Boston Red Sox,SFG,31,4.7,8,757,2436,328,636,100,371,28,197,.261,.323,.456,.779,,,,,,,,,,,,
105,Dan Wheeler\wheelda01,2012-01-26,Cleveland Indians,BOS,34,1.7,12,280,7,1,1,0,0,0,0,.143,.143,.143,.286,25,43,3.88,1.208,577,9,43,628.1,572,86,187,553
106,Roman Colon\colonro01,2012-01-25,Kansas City Royals,LAD,32,0.4,5,44,7,0,0,0,0,0,0,.000,.000,.000,.000,8,10,5.12,1.494,121,8,1,179.1,201,30,67,117
107,Eric Junge\jungeer01,2012-01-25,Atlanta Braves,LAA,35,,9,,,,,,,,,,,,,,,,,,,,,,,,
108,Bryan Augenstein\augenbr01,2012-01-24,Tampa Bay Rays,STL,25,-0.9,2,12,4,1,1,0,0,0,1,.250,.400,.250,.650,0,2,8.34,1.897,12,2,0,22.2,34,3,9,12
109,Wilson Betemit\betemwi01,2012-01-24,Baltimore Orioles,DET,30,1.0,9,697,1742,223,469,63,243,9,180,.269,.336,.448,.784,,,,,,,,,,,,
110,Bartolo Colon\colonba01,2012-01-24,Oakland Athletics,NYY,39,1.6,14,39,86,1,10,0,5,0,0,.116,.125,.116,.241,161,113,4.09,1.334,357,351,0,2241.0,2240,277,750,1742
111,Kevin Millwood\millwke01,2012-01-24,Seattle Mariners,COL,37,6.0,15,239,467,22,57,4,27,0,21,.122,.160,.180,.340,163,140,4.10,1.324,423,415,0,2559.1,2602,283,787,1976
112,Carlos Pena\penaca01,2012-01-24,Tampa Bay Rays,CHC,34,7.8,11,1226,4113,631,982,258,730,25,683,.239,.352,.486,.838,,,,,,,,,,,,
113,Sean Green\greense01,2012-01-23,Texas Rangers,MIL,33,-0.4,6,110,2,0,0,0,0,0,0,.000,.000,.000,.000,10,12,4.41,1.517,264,0,2,269.2,276,13,133,203
114,Willie Harris\harriwi02,2012-01-23,Cincinnati Reds,NYM,34,-1.8,11,1021,2397,360,575,39,210,106,303,.240,.330,.349,.678,,,,,,,,,,,,
115,Omar Vizquel\vizquom01,2012-01-23,Toronto Blue Jays,CHW,45,0.7,23,2908,10433,1432,2841,80,944,401,1021,.272,.337,.353,.690,,,,,,,,,,,,
116,Delwyn Young\youngde04,2012-01-23,Chicago White Sox,PHI,30,-0.9,5,,,,,,,,,,,,,,,,,,,,,,,,
117,Paul McAnulty\mcanupa01,2012-01-22,Los Angeles Angels of Anaheim,LAA,31,-0.2,6,,,,,,,,,,,,,,,,,,,,,,,,
118,Vinnie Chulk\chulkvi01,2012-01-21,Milwaukee Brewers,OAK,33,0.1,7,119,4,0,1,0,0,0,0,.250,.250,.250,.500,7,15,4.33,1.386,252,0,2,276.1,275,31,108,189
119,Brad Eldred\eldrebr01,2012-01-21,Detroit Tigers,SFG,31,0.0,3,85,260,30,53,15,33,1,16,.204,.259,.419,.678,,,,,,,,,,,,
120,Chris George\georgch02,2012-01-21,Baltimore Orioles,BAL,32,,10,,,,,,,,,,,,,,,,,,,,,,,,
121,Chris Aguila\aguilch01,2012-01-20,,FLA,33,,7,,,,,,,,,,,,,,,,,,,,,,,,
122,Tim Corcoran\corcoti02,2012-01-20,Los Angeles Dodgers,LAD,34,,6,,,,,,,,,,,,,,,,,,,,,,,,
123,Dennys Reyes\reyesde01,2012-01-20,Baltimore Orioles,BOS,35,0.7,15,421,56,2,4,0,0,1,2,.071,.103,.089,.193,35,35,4.21,1.547,673,40,4,726.2,724,61,400,642
124,Chris Snyder\snydech02,2012-01-20,Houston Astros,PIT,31,0.7,8,630,1846,204,426,70,273,0,272,.231,.333,.394,.727,,,,,,,,,,,,
125,Jeremy Accardo\accarje01,2012-01-19,Cleveland Indians,BAL,30,0.1,7,71,7,0,1,0,0,0,0,.143,.143,.143,.286,10,20,4.22,1.379,235,0,38,247.1,246,21,95,176
126,Jesus Feliciano\felicje01,2012-01-19,Tampa Bay Rays,NYM,33,-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,
127,Fred Lewis\lewisfr02,2012-01-19,Cleveland Indians,CIN,31,1.9,6,517,1542,259,412,27,136,53,166,.267,.345,.406,.751,,,,,,,,,,,,
128,Rodrigo Lopez\lopezro02,2012-01-19,Chicago Cubs,CHC,36,-2.2,10,87,145,4,9,0,1,0,3,.062,.087,.062,.149,81,88,4.82,1.420,253,215,0,1344.1,1498,202,411,863
129,Will Rhymes\rhymewi01,2012-01-19,Tampa Bay Rays,DET,29,0.7,2,83,276,43,78,1,21,1,25,.283,.341,.370,.711,,,,,,,,,,,,
130,Chris Woodward\woodwch01,2012-01-19,Toronto Blue Jays,TOR,36,-0.4,12,659,1706,211,408,33,191,9,137,.239,.296,.365,.661,,,,,,,,,,,,
131,Armando Galarraga\galarar01,2012-01-18,Baltimore Orioles,ARI,30,-1.0,5,13,23,2,0,0,1,0,3,.000,.115,.000,.115,26,30,4.69,1.382,95,86,0,518.0,508,88,208,329
132,Oliver Perez\perezol01,2012-01-18,Seattle Mariners,WSN,30,-2.1,9,201,341,13,54,0,15,3,14,.158,.190,.161,.352,58,69,4.63,1.482,206,195,0,1111.2,1019,167,628,1126
133,Max St. Pierre\stpiema01,2012-01-18,Boston Red Sox,DET,32,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
134,Gil Velazquez\velazgi01,2012-01-18,,LAA,32,0.1,3,13,16,0,4,0,2,0,0,.250,.278,.250,.528,,,,,,,,,,,,
135,Oscar Villarreal\villaos01,2012-01-18,Baltimore Orioles,LAD,30,,8,,,,,,,,,,,,,,,,,,,,,,,,
136,Joel Zumaya\zumayjo01,2012-01-18,Minnesota Twins,DET,27,0.7,5,,,,,,,,,,,,,,,,,,,,,,,,
137,Kelly Johnson\johnske05,2012-01-17,Toronto Blue Jays,TOR,30,6.2,6,791,2791,438,726,92,335,58,342,.260,.343,.441,.784,,,,,,,,,,,,
138,Peter Moylan\moylape01,2012-01-17,Atlanta Braves,ATL,33,2.3,6,279,7,0,0,0,0,0,1,.000,.125,.000,.125,19,9,2.60,1.291,287,0,3,255.2,218,13,112,205
139,Joe Saunders\saundjo01,2012-01-17,Arizona Diamondbacks,ARI,31,2.2,7,46,88,2,14,0,5,1,3,.159,.187,.170,.357,69,52,4.16,1.374,161,161,0,986.2,1041,124,315,550
140,Vicente Padilla\padilvi01,2012-01-16,Boston Red Sox,LAD,34,3.2,13,219,250,13,27,0,17,0,16,.108,.170,.132,.302,104,90,4.31,1.373,330,237,5,1521.1,1553,174,536,1070
141,Alfredo Amezaga\amezaal01,2012-01-13,Chicago Cubs,FLA,34,-1.2,9,584,1408,173,348,12,110,49,112,.247,.307,.333,.640,,,,,,,,,,,,
142,Ronny Cedeno\cedenro02,2012-01-13,New York Mets,PIT,29,0.5,7,701,2126,223,522,33,196,34,115,.246,.286,.353,.639,,,,,,,,,,,,
143,Kevin Kouzmanoff\kouzmke01,2012-01-13,Kansas City Royals,COL,30,3.3,6,672,2478,265,633,85,361,6,123,.255,.300,.420,.720,,,,,,,,,,,,
144,Ryan Madson\madsory01,2012-01-13,Cincinnati Reds,PHI,31,4.7,9,472,48,3,6,0,2,0,2,.125,.160,.146,.306,47,30,3.59,1.294,491,18,52,630.0,624,61,191,547
145,Jack Wilson\wilsoja02,2012-01-13,Atlanta Braves,ATL,34,6.2,11,1330,4819,561,1282,61,422,43,268,.266,.307,.368,.675,,,,,,,,,,,,
146,Kerry Wood\woodke02,2012-01-13,Chicago Cubs,CHC,35,1.7,13,331,345,23,59,7,32,0,11,.171,.196,.249,.445,86,73,3.64,1.262,436,178,63,1371.1,1075,147,655,1576
147,Clay Zavada\zavadcl01,2012-01-13,Cincinnati Reds,ARI,28,0.6,2,,,,,,,,,,,,,,,,,,,,,,,,
148,Luke Scott\scottlu01,2012-01-12,Tampa Bay Rays,BAL,34,5.3,7,702,2243,308,592,112,341,11,283,.264,.349,.494,.843,,,,,,,,,,,,
149,Winston Abreu\abreuwi01,2012-01-11,Baltimore Orioles,TOR,35,-0.2,5,,,,,,,,,,,,,,,,,,,,,,,,
150,Scott Hairston\hairssc01,2012-01-11,New York Mets,NYM,32,3.4,8,643,1820,224,444,75,222,26,143,.244,.303,.437,.740,,,,,,,,,,,,
151,Chin-lung Hu\huch01,2012-01-11,Cleveland Indians,NYM,28,-0.5,5,118,193,27,34,2,18,4,12,.176,.225,.259,.484,,,,,,,,,,,,
152,Drew Macias\maciadr01,2012-01-11,Los Angeles Angels of Anaheim,SDP,29,-0.2,4,,,,,,,,,,,,,,,,,,,,,,,,
153,Paul Phillips\phillpa01,2012-01-11,Milwaukee Brewers,CLE,35,0.2,7,,,,,,,,,,,,,,,,,,,,,,,,
154,Doug Slaten\slatedo01,2012-01-11,Pittsburgh Pirates,WSN,32,0.1,6,195,0,0,0,0,0,0,0,,,,,7,8,3.60,1.496,206,0,0,137.2,147,14,59,104
